timestamp,time,open,high,low,close,volume,trades
34200,09:30:00,6.9700,6.9700,6.9700,6.9700,147,1
37800,10:30:00,6.9800,6.9800,6.9800,6.9800,1,1
39600,11:00:00,6.9500,6.9500,6.8400,6.8400,1134,7
46800,13:00:00,6.9800,6.9800,6.9800,6.9800,101,2
48600,13:30:00,6.9900,6.9900,6.9700,6.9900,1697,13
50400,14:00:00,6.9900,7.3000,6.9900,7.2400,958,8
52200,14:30:00,7.2400,7.2400,7.2300,7.2300,1484,16
54000,15:00:00,7.2000,7.2000,7.2000,7.2000,755,3
55800,15:30:00,6.9900,7.2300,6.9900,7.2300,550,5
57600,16:00:00,7.2300,7.2300,7.2300,7.2300,19,1
